id	source	text	satisfaction	satisfaction_std	satisfaction_bucket	satisfaction_support	considerateness	considerateness_std	considerateness_bucket	considerateness_support	dedication	dedication_std	dedication_bucket	dedication_support	emotion	emotion_std	emotion_bucket	emotion_support
20	asapp	This is our mistake and I'm sorry for the inconvenience.	2.571428571	0.5345224838	3	7	4.142857143	0.377964473	4	7	3.428571429	0.5345224838	3	7	2.428571429	0.7867957925	2	7
21	twitter	i know its just such an unfortunate event to happen not just bcuz im losing the store but many ppl are losing their jobs my momma sent me this email whyyyyyyy im so sad to see my fav spot leave me	1.333333333	0.5773502692	1	3	3	1	3	3	3.333333333	0.5773502692	3	3	3.333333333	1.527525232	3	3
22	asapp	I'm sorry I am only able to offer silver members an extension that are 1 day late.	2.5	0.7071067812	2	2	4	0	4	2	3	0	3	2	2	0	2	2
23	asapp	When the item arrives I'll need you to call us back and get a shipping label to return the item.	3	0	3	2	3.5	0.7071067812	4	2	3	0	3	2	1	0	1	2
24	yahoo	\n\n5) fair compensation- obviously, this is very important.	3	0	3	2	3	0	3	2	3	0	3	2	1.5	0.7071067812	2	2
25	air_customer	These puppies and family pets were left unattended in small crates for an unhealthy amount of time, neglected by American Airlines.	1.5	0.7071067812	1	2	2	0	2	2	2.5	0.7071067812	2	2	3	0	3	2
26	asapp	your refund status is "in progress" and should be completed soon.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
27	ubuntu	I wan't to do a demo of gutsy  before installing it.	3	0	3	2	3	0	3	2	3.5	0.7071067812	4	2	1	0	1	2
28	airline	When asked ``How are you`the response of `I am okay`is not professional at all.	2.5	0.7071067812	2	2	2.5	0.7071067812	2	2	3	0	3	2	1.5	0.7071067812	2	2
29	trip_advisor	I would like advice on how to get from Zurich to Rome (does anyone know what time we reach Zurich?	3	0	3	2	3.5	0.7071067812	4	2	3	0	3	2	1	0	1	2
30	asapp	Oh I thought you were referring to your membership.	3	0	3	4	2.75	0.5	3	4	3	0	3	4	1.25	0.5	1	4
31	yahoo	Playing a game takes a lot of the players time preparing and practicing.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
32	air_customer	Do Jet 2.com have in flight entertainment handset players on sale from Manchester?	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
33	ubuntu	my bank offers quicken, ms money, ofx, and intuit formats	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
34	trip_advisor	Hi, Just helped my friends to book 2 return flights to new York (EWR) from Edinburgh via LHR.	3.333333333	0.5773502692	3	3	3.666666667	0.5773502692	4	3	3.333333333	0.5773502692	3	3	1.666666667	1.154700538	2	3
35	trip_advisor	I am flying back to the United States on TAP Portugal Airlines here is my whole itinerary: Rome, Italy > Lisbon, Portugal > Boston, Massachusetts > Ft. Lauderdale, Fl.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
36	asapp	Ok it was a mistake on our part sorry for the inconvenience generated.	2.5	0.7071067812	2	2	4	0	4	2	3	0	3	2	2	0	2	2
37	ubuntu	I created a new user on ubuntu for my wife but whenever we try to log in with her newly created account the GUI interface hangs with a black screen and goes nowhere from that point on.	2	0	2	2	3	0	3	2	3	0	3	2	1	0	1	2
38	ubuntu	I'm really looking for an opinion on how well the C60 based models run Ubuntu Unity	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
39	yahoo	The answer, of course, varies for each individual depending on how fit you are, how often do you train and what your goals are.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
40	ubuntu	i'm not saying anything about the program, i'm saying its had the same name for so long that it seems silly to whine about after years of development	2	1	2	3	2	1	2	3	2.666666667	0.5773502692	3	3	3.333333333	0.5773502692	3	3
41	twitter	thanks for reaching out to us scott message dm us your account number so we can see what is going on with your internet install we are standing by	3.5	0.7071067812	4	2	4	0	4	2	2.5	0.7071067812	2	2	1.5	0.7071067812	2	2
42	ubuntu	Now I want to add the free space to root partition.	3	0	3	2	3	0	3	2	2.5	0.7071067812	2	2	1	0	1	2
43	air_customer	They make this very clear for the departure flight but I didn’t think it was necessary for the return flight.	2	0	2	2	2.5	0.7071067812	2	2	2.5	0.7071067812	2	2	2	0	2	2
44	yahoo	I am currently a student at Haas (in the PT program), and I can't understand why people would pick a different program in this region.	2.333333333	1.154700538	2	3	3.333333333	1.154700538	3	3	3.333333333	1.527525232	3	3	1.666666667	0.5773502692	2	3
45	trip_advisor	I'm petite so don't mind so much about seat size, but would like it to be comfy and have good movies etc!	2.666666667	1.154700538	3	3	3.333333333	0.5773502692	3	3	3	0	3	3	2.333333333	0.5773502692	2	3
46	asapp	i will be sending a reset code to your email to get this done	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
47	yahoo	according to sites actually dedicated to reviewing the game in spite of its connections to the &quot;all your base are belong to us&quot; phenomena, the word &quot;zig&quot; is actually a made up name for the fighter plane you pilot throughout the game.	2	0	2	2	2	0	2	2	2.5	0.7071067812	2	2	3	0	3	2
48	trip_advisor	Are there any good websites I can subscribe to, so when a great price comes up we can book it?	3	0	3	2	3	0	3	2	3.5	0.7071067812	4	2	1.5	0.7071067812	2	2
49	trip_advisor	Hi everyone, i'm just wondering which is the better flight option or if any of you have experienced the flight.	3	0	3	2	3.5	0.7071067812	4	2	3.5	0.7071067812	4	2	2	0	2	2
50	ubuntu	i need help with ufw i explicitly allowed a ip adress to connect for ssh, however ufw still blocks it	2	0	2	3	2.666666667	0.5773502692	3	3	2.666666667	0.5773502692	3	3	1.666666667	1.154700538	2	3
51	ubuntu	scott__:fdisk recognize my partition as you can see here -> http://paste.ubuntu.com/594267/ but gparted and utility for creating partition integrated in live cd doesn't work	2.5	0.7071067812	2	2	2.5	0.7071067812	2	2	3	0	3	2	1.5	0.7071067812	2	2
52	airline	If we are going to have to check this bag after arrival at the airport, I might as well pack in a large bag and not have to worry about what I pack.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
53	yahoo	For those who live in the Northern Hemisphere:\nThe Moon is waxing or waning based on whether the right side of the Moon is dark or light.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
54	asapp	Strange I'm sorry I'm not sure what the problem is!	2.5	0.7071067812	2	2	3.5	0.7071067812	4	2	3	0	3	2	1.5	0.7071067812	2	2
55	air_customer	Probably not of my choosing but if I absolutely had to then I guess I would as long as I was careful to follow all their rules.	3	0	3	2	3	0	3	2	3	0	3	2	1.5	0.7071067812	2	2
56	asapp	if i understand correctly you are inquiring about a single item the jacket today	3	0	3	2	3.5	0.7071067812	4	2	3.5	0.7071067812	4	2	1	0	1	2
57	yahoo	Now is the perfect time to start doing something you didn't have time for before.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
58	trip_advisor	I assume that it would be cheaper for them not to have to send bags all the way to LHR and would leave behind bags for those whose final destination is CMB (if necessary) TIA	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
59	ubuntu	hello, two things, some drivers aren't perfect, meaning it's not that the signal is not strong, it's the driver that is just SHOWING it as low.	3	0	3	2	3.5	0.7071067812	4	2	3	0	3	2	1	0	1	2
60	ubuntu	look on ubuntuforums.org there is a link to a java repository.	2.5	0.7071067812	2	2	3	0	3	2	3	0	3	2	1	0	1	2
61	ubuntu	There's another little problem i'm having these days: when i try to burn an audio cd, it says it was burned sucssecfully but when i try to run, it says its nothing in it... and also i can't use the cd because the computer says it is things burned in it =/	2	0	2	2	3.5	0.7071067812	4	2	3	0	3	2	3	0	3	2
62	yahoo	The complete list of winners of this prize is at: http://www.francefootball.fr/FF/ballon_or/index_bo.html\n\nNow, the general audience... this is tough, since there are many players that could be the best at any time (henry, lampard, ronaldo, ronaldinho, zidane -getting older, though-, kaká, eto'o, ...).	2.666666667	0.5773502692	3	3	3	0	3	3	3.333333333	0.5773502692	3	3	1.666666667	1.154700538	2	3
63	twitter	el mae que llama a la gente en lista de espera en el banco est detrs del palo ya se le enojaron como 3 personas por que todos los nombres los pronuncia mal y eso que es latino	3	0	3	2	3	0	3	2	3	0	3	2	3	0	3	2
64	twitter	i need to correct how my name appears on a reservation so i assume i need to talk to a rep will try again tomorrow	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
65	asapp	When washing please remember to fold them inside out to preserve color.	2.8	0.4472135955	3	5	3.4	0.5477225575	3	5	3	0	3	5	1.4	0.894427191	1	5
66	yahoo	If you were on the world's biggest island, where would you be?	3	0	3	2	3	0	3	2	3	0	3	2	2.5	0.7071067812	3	2
67	air_customer	So I arrive in Cork and would prefer not to have to have bags checked - but they are as its a pretty full flight.	2.5	0.7071067812	2	2	3.5	0.7071067812	4	2	3	0	3	2	1	0	1	2
68	ubuntu	Several W7 machines are sharing files with no problems, but from my Netbook things aren't so great: the Windows machines are visible, but on trying to open them, I get 'Unable to mount location.	2	0	2	3	3	0	3	3	2.333333333	0.5773502692	2	3	2.666666667	1.527525232	3	3
69	air_customer	We are flying from Sacramento to Vancouver in August.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
70	ubuntu	boot into ubuntu, open a terminal and run dmesg | egrep sd  then paste the output to http://ubuntu.pastebin.com	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
71	ubuntu	run windows in virtualbox ecinx3  is all ive done in the past for such apps.	2.666666667	0.5773502692	3	3	3	0	3	3	3	0	3	3	2	1.732050808	2	3
72	yahoo	In much the same way that a a radio telescope 'sees' past events, could a very powerful directional microphone pickup sounds from the past?	3	0	3	3	3	0	3	3	3	0	3	3	2.333333333	1.527525232	2	3
73	asapp	If that answers your question I'll ask if there's anything else I can help with.	3.333333333	0.5773502692	3	3	4.333333333	0.5773502692	4	3	3.333333333	0.5773502692	3	3	2	1	2	3
74	twitter	havent received any update so far its been a week now	1.333333333	0.5773502692	1	3	2.333333333	0.5773502692	2	3	2.666666667	0.5773502692	3	3	2.666666667	1.154700538	3	3
75	twitter	apologies please stay tuned to the link i sent you can you also message dm me if you are wiredwireless region and isp thanks	2.666666667	0.5773502692	3	3	4.666666667	0.5773502692	5	3	4	0	4	3	2.666666667	2.081665999	3	3
76	ubuntu	is there a way to get gnome to behave more like WinXP (windows open in same window, not new... apps appear on RIGHT of task bar, not left)	2.666666667	0.5773502692	3	3	3	0	3	3	3.333333333	0.5773502692	3	3	3	1.732050808	3	3
77	airline	I am assuming I should go ahead and get a Lufthansa number but I am hoping for some advice.	2.5	0.7071067812	2	2	3.5	0.7071067812	4	2	3	0	3	2	2	0	2	2
78	airline	Should this be enough time to make the connection?	3	0	3	2	3.5	0.7071067812	4	2	3	0	3	2	1.5	0.7071067812	2	2
79	trip_advisor	If you do something stupid like wash it, then that's a consequence, too.	1.666666667	1.154700538	2	3	1.333333333	0.5773502692	1	3	2.666666667	0.5773502692	3	3	3.666666667	1.527525232	4	3
80	ubuntu	USB and RDP sound tempting, are those really not available in the opensource version?	2.666666667	0.5773502692	3	3	3	0	3	3	2.666666667	0.5773502692	3	3	1.666666667	1.154700538	2	3
81	trip_advisor	We have travelled 2 years ago on Air Tahiti in provera business class and it was great, but we are wondering if the Air France product is better.	3.333333333	1.154700538	3	3	2.666666667	0.5773502692	3	3	2.666666667	0.5773502692	3	3	1.666666667	0.5773502692	2	3
82	yahoo	The resulting fat is similar to saturated fat, which raises "bad" LDL cholesterol and can lead to clogged arteries and heart disease.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
83	asapp	I am going to write up a report to let our purchasing department know.	3	0	3	2	3	0	3	2	3.5	0.7071067812	4	2	1	0	1	2
84	airline	Had An eight night holiday which I cannot get to ,not to mention my return was also booked HIR - NAN - HNL Also on FIJI airways ... What a bunch of crooks	1.25	0.5	1	4	1.5	0.5773502692	1	4	2.25	0.9574271078	2	4	4.75	0.5	5	4
85	yahoo	Another reason is that the P.M.'s responses are scripted in advance, where at all possible.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
86	airline	but I do think that it applies to most markets-- some more than others, but most markets.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
87	github	This doesn't make much sense as it may be crucial to navigate in the output panel_ especially if the output object is long and doesn't fit in a single page.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
88	trip_advisor	My wife is very dubious about all of this and thinks I am crazy, so I am just trying to allay some concerns.	2.666666667	0.5773502692	3	3	3	1	3	3	3.333333333	0.5773502692	3	3	2.333333333	0.5773502692	2	3
89	trip_advisor	(well, almost flat) I have checked the "Suite Dreams" site and it shows 33% of the planes have been changed - has anyone flown this class recently and had the "new" configuration?	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
90	ubuntu	I haven't heard it and it's probably just the result of someone speculating.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
91	trip_advisor	Some suggestions, may be common sense to you, but, think about a newbie, (the unseasoned) traveling in today's World.	2.666666667	0.5773502692	3	3	3	1	3	3	3	0	3	3	1.333333333	0.5773502692	1	3
92	ubuntu	easiest way to do it would just be to reset the homedir to a default after log out (or during log in)	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
93	trip_advisor	Is only snack food ok or can I bring like peanut butter sandwiches as well?	3	0	3	2	3.5	0.7071067812	4	2	3	0	3	2	1	0	1	2
94	airline	I should have known better than to book a low-cost flight through an agency...or at least through That agency!	1	0	1	4	2.25	0.5	2	4	2	0.8164965809	2	4	3.75	0.5	4	4
95	github	The Tasks started by Code Pipeline also should be successfully placed.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
96	airline	Look into KLM for a cheaper and more professional approach to air travel to avoid AirAsia's haggling!	2.6	0.5477225575	3	5	2.6	0.894427191	3	5	3.6	0.894427191	4	5	2.6	0.894427191	3	5
97	trip_advisor	The plane came down in such a bang that all passengers were shocked.	2	0	2	2	3	0	3	2	3	0	3	2	2	0	2	2
98	airline	Approaching to land I was told by "the leader" that they would be waiting for me in the corridor.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
99	asapp	I'm going to write up a report and tell people here to do a better job keeping things in stock.	1.666666667	0.5773502692	2	3	2.666666667	0.5773502692	3	3	3	1	3	3	1.666666667	0.5773502692	2	3
100	ubuntu	During installing I can't fill My name, Computer name, Password, ...	2.5	0.7071067812	2	2	3	0	3	2	3	0	3	2	1	0	1	2
101	twitter	hey guys i have got an order taken from my account that i did not make can you please look into this	2.5	0.7071067812	2	2	3.5	0.7071067812	4	2	3	0	3	2	1.5	0.7071067812	2	2
102	yahoo	One big mistake I see guys make, and one that I made back in my dating days, is making the date seem more like an interview.	3	0	3	3	3	0	3	3	3	0	3	3	2.333333333	1.527525232	2	3
103	asapp	Okay I do see there was an error along the way in your order.	3	0	3	3	3.333333333	0.5773502692	3	3	3	0	3	3	2	1	2	3
104	github	Endpoint ruleset files are in botocore/data/**/endpoint rule set 1.	3	0	3	3	3	0	3	3	3	0	3	3	1.666666667	1.154700538	2	3
105	twitter	i have been sent two counterfeit copies of and support was unable to assure a third copy would be genuine the offending 1 seller is still on the site and every attempt i make to leave a criticism regarding the counterfeit gets censored stop censoring me 2	1	0	1	3	1.333333333	0.5773502692	1	3	1.666666667	1.154700538	2	3	3.333333333	1.527525232	3	3
106	ubuntu	If I do that then what is the point for me to use Ubuntu?	2	0	2	3	2.666666667	0.5773502692	3	3	1.666666667	0.5773502692	2	3	2.333333333	1.527525232	2	3
107	twitter	tomorrow tuesday october 24 still no shipping email	2	0	2	3	2.333333333	0.5773502692	2	3	3	0	3	3	2.333333333	1.527525232	2	3
108	trip_advisor	Can anyone tell me when the above flights may be released by easyjet please	3	0	3	2	4.5	0.7071067812	5	2	3	0	3	2	1	0	1	2
109	yahoo	In 1788, Josef Riesinger of Vienna was able to train a dog so well that people often doubted that he was blind!	3.666666667	1.154700538	4	3	3.333333333	0.5773502692	3	3	3.333333333	0.5773502692	3	3	3	1.732050808	3	3
110	air_customer	I know times are hard, but why do these companies insult our intelligence by claiming that the latest penny-pinching reduction in service is an improvement?	1.5	0.7071067812	1	2	2.5	0.7071067812	2	2	2	0	2	2	3.5	0.7071067812	4	2
111	asapp	Well I can't add something to an order that we no longer have.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
112	trip_advisor	I'm traveling Economy to Thailand this summer on Asiana.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
113	airline	Is there a way to access these from the iPhone mobile app?	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
114	yahoo	I have been taking a class called "Core Fusion" for almost a year now, and it has been the most effective thing I've done in terms of toning my body up (all over, not just butt).	4.666666667	0.5773502692	5	3	3	0	3	3	3.666666667	1.154700538	4	3	1.333333333	0.5773502692	1	3
115	trip_advisor	Hello, Going to San Francicso from Amsterdam with  Me and my friend decided to book the seats in the Economy comfort area, if we should change seats or has any reflections of how comfortable the seats really are?	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
116	twitter	hi there we are always happy to help please message dm us with any questions you may have	3.333333333	0.5773502692	3	3	4	0	4	3	3.666666667	0.5773502692	4	3	2.333333333	1.154700538	2	3
117	airline	We will continue to offer complimentary hot meals on those flights.	3.25	0.5	3	4	4	0	4	4	4	0	4	4	1.25	0.5	1	4
118	asapp	I'll need your address for the shipping label that you'll need to print.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
119	asapp	Okay one last thing to try would be closing other browser tabs and programs on your computer in case they are causing the site to go slowly.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
120	asapp	Sure - are you looking for and update on the shipping status of this order or something else?	3	0	3	2	4	0	4	2	3	0	3	2	1	0	1	2
121	air_customer	I was very apprehensive and expecting some delays, but everything was fine.	3.333333333	0.5773502692	3	3	3.333333333	0.5773502692	3	3	3	0	3	3	2.666666667	2.081665999	3	3
122	trip_advisor	I have booked a vacation package to Dominican Republic through Cheap Caribbean.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
123	ubuntu	On a lynx install the sta driver is enabled but no wireless is detected.	2.5	0.7071067812	2	2	3	0	3	2	3	0	3	2	1	0	1	2
124	asapp	Just return the item in the original order and send it to the address on the label.	2.5	0.7071067812	2	2	2.5	0.7071067812	2	2	2.5	0.7071067812	2	2	1.5	0.7071067812	2	2
125	yahoo	the prices of rent and the price of buying does not make sense to me, mostly the rent will not cover the mortgage .	2	0	2	2	3	0	3	2	3	0	3	2	2	0	2	2
126	air_customer	Does anyone know if its true that if one uses air mad as one's international carrier, then air mad internal flights are at 50% discount?	3	0	3	2	3.5	0.7071067812	4	2	3	0	3	2	1	0	1	2
127	asapp	Each level becomes active and lasts for the duration of that year and an additional year after.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
128	asapp	This label can be found by looking on the inside of the jeans at the back-right area.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
129	air_customer	The people that preordered got a different meal (beef or pasta dish).	2.75	0.5	3	4	3	0	3	4	3	0	3	4	1.25	0.5	1	4
130	twitter	hi dan please see my response to your facebook message as soon as possible thank you	2.666666667	0.5773502692	3	3	3.333333333	1.154700538	3	3	3	1	3	3	1.666666667	0.5773502692	2	3
131	yahoo	For me, Etrade offers the ease of online access but reasonable interest.	4	0	4	3	3	0	3	3	4	1	4	3	2	1.732050808	2	3
133	airline	I'm flying for the first time as an adult in a few months and was wondering how the check in process works.	3	0	3	2	3.5	0.7071067812	4	2	3	0	3	2	1	0	1	2
134	yahoo	be concise and to the point while packing your resume full of key information that presents your strengths as a candidate for employment.	3	0	3	2	3.5	0.7071067812	4	2	3.5	0.7071067812	4	2	1	0	1	2
135	github	To support this upgrade_ this commit adds 3.11 to the GitHub actions testing matrix and bumps PyInstaller to version 5.7.0.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
136	airline	Bought tickets on Expedia for RT Albuquerque t o Cairo via Turksih Air for our family.	3.5	0.7071067812	4	2	3	0	3	2	3.5	0.7071067812	4	2	1	0	1	2
137	twitter	oh i love nemo got to say the drawing is good aisha	4.333333333	0.5773502692	4	3	3.333333333	0.5773502692	3	3	3.666666667	0.5773502692	4	3	4	1	4	3
138	yahoo	\nForcing expensive alternative technologies on the market before they are economically viable simply raises electricity prices for homeowners--this is part of the reason CA electric rates were so far above the national average in the 1990's, opening the door for Enron and like to make their ill-fated arbitrage plays...	2.5	0.7071067812	2	2	3	0	3	2	3	0	3	2	1	0	1	2
139	yahoo	\n\nDuring the American Revolution, Americans who remained loyal to England moved to Canada where they brought the customs and practices of the American Thanksgiving to Canada."	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
140	trip_advisor	And again 20 hours prior to the flight I tried to pre seat the whole family through the internet.	2.666666667	0.5773502692	3	3	3	0	3	3	3	0	3	3	2.333333333	1.154700538	2	3
141	asapp	i simply need your pin number or the answer to your security question	2.5	0.7071067812	2	2	3	0	3	2	3	0	3	2	1.5	0.7071067812	2	2
142	yahoo	Same reason solar power isn't more popular despite lots of sunshine: with current technology the cost per kwh is still much higher than for power generated with fossil fuels.	2.666666667	0.5773502692	3	3	3.333333333	0.5773502692	3	3	2.5	0.7071067812	2	2	1	0	1	3
143	trip_advisor	Also, is it fairly easy to figure out where to go to get to our connecting flight...not sure what terminal we land in and what terminal we take off from for Honolulu...We are just a little confused.	2	0	2	2	3	0	3	2	3	0	3	2	3	0	3	2
144	yahoo	\nBecause they happen at random intervals, abd are ephemeral (often just a few seconds), and the "scopes" used to capture them are not tightly directional, we don't have any instruments currently that can figure out exactly what they are.	2	0	2	2	3	0	3	2	2.5	0.7071067812	2	2	1	0	1	2
145	asapp	I know it is really frustrating but the changes of prices is outside of my control.	2.333333333	0.5773502692	2	3	2.666666667	0.5773502692	3	3	3.333333333	0.5773502692	3	3	2.333333333	1.527525232	2	3
146	ubuntu	by not pretty you mean that you have to have Linux installed onto an FS that Windows understands, which means vfat	2.333333333	0.5773502692	2	3	2.666666667	0.5773502692	3	3	3	1	3	3	2	0	2	3
147	trip_advisor	to get thru customs, get my bags, and shuttle over to the other terminal in time for the 3:30 flight (assuming the Singapore Airlines flight from Tokyo arrives on time at 1:00).	3	0	3	2	3	0	3	2	3	0	3	2	1.5	0.7071067812	2	2
148	trip_advisor	Some funny flight announcements southafrica.to/transport/…Kulula-humour.	3	0	3	2	3	0	3	2	3	0	3	2	1.5	0.7071067812	2	2
149	trip_advisor	It took ages for them to pick up the phone and they kept quoting the new price but as soon as I agreed then they would pass me on to another person or cut the phone.	1	0	1	2	2.5	0.7071067812	2	2	2.5	0.7071067812	2	2	2.5	0.7071067812	3	2
150	yahoo	\nThis is because the warm air from inland (where it gets quite hot in the Summer) clashes with the cold air from the surrounding Pacific Ocean and the SF Bay.	3	0	3	2	3	0	3	2	3	0	3	2	1.5	0.7071067812	2	2
151	asapp	With this you will see improvements on the website in a few day do you think the solution is right?	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
152	twitter	that is too long which broomfield location specifically	2.5	0.7071067812	2	2	3	0	3	2	3	0	3	2	1	0	1	2
153	twitter	i am having so much trouble with my apple id accepting my payment details i cannot download or update anything i am about to go to android this is horrible nothing is working for me	1.333333333	0.5773502692	1	3	2	1	2	3	1.666666667	1.154700538	2	3	4	1	4	3
154	twitter	we are here to serve please send us a dm so that we can further work with your situation	3	0	3	2	4.5	0.7071067812	5	2	4	0	4	2	1	0	1	2
155	air_customer	A friend of mine has just had her flight cancelled from Sydney to Hong Kong by Fiji Airlines, they offered her an alternative flight 2 days later which doesn't suit as she'll miss the event she's scheduled to attend.	2.5	0.7071067812	2	2	3	0	3	2	3	0	3	2	1.5	0.7071067812	2	2
156	trip_advisor	These flights were available in economy, only 2 days ago.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
157	yahoo	But there's a scientist in Berkeley (forgot his name) claimed he had predicted earthquakes accurately in the last few decades.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
